,Teacher Shortages and Surpluses (General Teacher Preparation Policy),Data Systems Needed for Evaluation (Teacher and Principal Evaluation Policy),Distributing Teacher Talent Equitably (Teacher and Principal Evaluation Policy),Performance (Teacher Compensation Policy),High-Need Schools and Subjects (Teacher Compensation Policy),Prior Work (Teacher Compensation Policy),Licensure Advancement (Retaining Effective Teachers Policy),Tenure (Retaining Effective Teachers Policy),Dismissal (Retaining Effective Teachers Policy),Layoffs (Retaining Effective Teachers Policy),Student Teaching/Clinical Practice  (General Teacher Preparation Policy),Adolescent Literacy (Secondary Teacher Preparation Policy),Licensure Deficiencies (Special Education Teacher Preparation Policy),Program Entry (Alternate Routes Policy),Preparation for the Classroom (Alternate Routes Policy),Requirements for Out-of-State Teachers (Hiring Policy),Measures of Student Growth (Teacher and Principal Evaluation Policy),Measures of Professional Practice (Teacher and Principal Evaluation Policy),Frequency of Evaluation and Observation (Teacher and Principal Evaluation Policy),Linking Evaluation to Professional Growth (Teacher and Principal Evaluation Policy),Principal Effectiveness (Teacher and Principal Evaluation Policy),Principal Evaluation and Observation (Teacher and Principal Evaluation Policy),Leadership Opportunities (Retaining Effective Teachers Policy)
IL,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,3.0,0.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0
KY,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0
MD,3.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0
MA,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0
NY,3.0,4.0,3.0,2.0,4.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,5.0,0.0
NC,3.0,2.0,3.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,0.0,3.0,2.0,5.0,2.0,2.0,0.0
OH,3.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0
TN,3.0,1.0,3.0,3.0,4.0,0.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0
WV,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0
CA,2.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
